|dmc_number|equivalent_gamma|
|----------|----------------|
|310       |0420            |
|347       |0708            |
|349       |0024            |
|666       |0012            |
|blanc     |                |
|309       |                |
|321       |                |
|336       |                |
|415       |                |
|434       |                |
|606       |                |
|721       |                |
|814       |                |
|815       |                |
|838       |                |
|891       |                |
|902       |                |
|919       |                |
|920       |                |
|921       |                |
|946       |                |
|956       |                |
|970       |                |
|3340      |                |
|3805      |                |
|3823      |                |
|3829      |                |
|3853      |                |
|3857      |                |
|3865      |                |
