|gamma_number|equivalent_dmc|
|------------|--------------|
|0002        |300           |
|0034        |3866          |
|0727        |554           |
|0971        |930           |
|3015        |223           |
|3094        |3803          |
|3102        |3834          |
|3108        |327           |
|3120        |939           |
|3237        |154           |
|3242        |161           |
|0001        |              |
|0053        |              |
|0061        |              |
|0064        |              |
|0069        |              |
|0070        |              |
|0073        |              |
|0074        |              |
|0075        |              |
|0076        |              |
|0078        |              |
|0079        |              |
|0082        |              |
|0083        |              |
|0085        |              |
|0086        |              |
|0087        |              |
|0111        |              |
|0112        |              |
|0114        |              |
|0120        |              |
|0150        |              |
|0202        |              |
|0204        |              |
|0220        |              |
|0304        |              |
|0402        |              |
|0407        |              |
|0409        |              |
|0410        |              |
|0417        |              |
|0512        |              |
|0605        |              |
|0609        |              |
|0611        |              |
|0665        |              |
|0674        |              |
|0757        |              |
|0759        |              |
|0809        |              |
|0811        |              |
|0812        |              |
|0853        |              |
|0854        |              |
|0856        |              |
|0860        |              |
|0877        |              |
|0902        |              |
|0969        |              |
|3012        |              |
|3017        |              |
|3027        |              |
|3029        |              |
|3036        |              |
|3038        |              |
|3042        |              |
|3047        |              |
|3057        |              |
|3083        |              |
|3090        |              |
|3091        |              |
|3098        |              |
|3099        |              |
|3100        |              |
|3101        |              |
|3103        |              |
|3104        |              |
|3105        |              |
|3106        |              |
|3107        |              |
|3110        |              |
|3112        |              |
|3117        |              |
|3118        |              |
|3121        |              |
|3122        |              |
|3123        |              |
|3126        |              |
|3152        |              |
|3206        |              |
|3212        |              |
|3222        |              |
|3229        |              |
|3231        |              |
|3235        |              |
|3240        |              |
|3249        |              |
|3250        |              |
|3251        |              |
|5135        |              |
|5166        |              |
|5167        |              |
|5168        |              |
|5172        |              |
|5175        |              |
|5193        |              |
|5204        |              |
|5205        |              |
|5206        |              |
|6080        |              |
