|gamma_number|equivalent_dmc|
|------------|--------------|
|0152        |647           |
|0001        |              |
|0004        |              |
|0006        |              |
|0034        |              |
|0039        |              |
|0053        |              |
|0060        |              |
|0150        |              |
|0404        |              |
|0415        |              |
|0419        |              |
|0665        |              |
|0666        |              |
|0673        |              |
|0725        |              |
|0752        |              |
|0754        |              |
|0960        |              |
|0966        |              |
|0969        |              |
|0972        |              |
|3036        |              |
|3042        |              |
|3043        |              |
|3044        |              |
|3046        |              |
|3049        |              |
|3232        |              |
|3250        |              |
|3255        |              |
|3256        |              |
|4195        |              |
